Gs, Gs, Gll, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gd, Gs, Gd, Gs, Gs, Rp, Gs, Gs, Gs, Gs, Gs, Gs, Gd, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Ww, Hh, Hh, Mm, Mm
Gg, Re, Gg, Ww, Gg, Gg, Gs, Gll, Gs, Gll, Gs, Hh, Gll, Gs, Gg, Gs, Gs, Gll, Gll, Gll, Gs, Gg, Gll, Gg, Gg, Gg, Gg, Rp, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Re, Gg, Gg, Gs, Gg
Hh, Gg, Gg, Ww, Gg, Gg, Gg, Gs, Gs, Gll, Gll, Gll, Gll, Gll, Gg, Gg, Gg, Gg, Gll, Gll, Gll, Gg, Hh, Gg, Gg, Hh, Gg, Rp, Gg, Gg, Re, Gs, Ce, Ce, Gg, Gg, Gg, Gs, Gg, Gg
Gg, Hh, Ww, Ww, Hh, Gg, Gg, Gg, Gs, Gs, Gs, Gs, Gs, Gll, Gs, Gll, Hh, Gll, Gs, Hh, Gg, Gll, Hh, Gg, Gg, Gg, Gg, Rp, Gg, Re, Re, Ce, 1 Ke, Gs, Ce, Gg, Gg, Gg, Gg, Gg
Hh, Gg, Hh, Ww, Hh, Chr, Gg, Gg, Gg, Gg, Gll, Gll, Gll, Gs, Gll, Gll, Hh, Hh, Gs, Gs, Gg, Gg, Gll, Gll, Gll, Gg, Gg, Rp, Rp, Rp, Rp, Ce, Ce, Ce, Ce, Gg, Gg, Gg, Gg, Gg
Hh, Hh, Gg, Ww, Gg, Chr, Chr, Gll, Gll, Gll, Gll, Gll, Gll, Gg, Gg, Hh, Gs, Hh, Hh, Gs, Gg, Hh, Hh, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Rp, Gg, Gg, Ce, Gg, Gg, Gg, Gg, Gs, Gg
Hh, Hh, Ww, Ww, Hh, Gg, Gg, Gg, Hh, Hh, Gg, Gg, Gg, Gs, Hh, Hh, Hh, Hh, Hh, Hh, Ds, Ds, Hh, Gg, Gg, Hh, Hh, Gg, Gg, Gg, Gg, Rp, Rp, Gg, Gg, Gg, Gg, Gg, Gs, Gs
Mm, Mm, Ww, Mm, Mm, Hh, Gg, Gg, Hh, Hh, Gg, Gg, Gg, Gg, Gg, Gg, Ww, Ww, Ww, Ww, Ds, Hh, Hh, Hh, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Rp, Rp, Gg, Gg, Gs, Gs, Gs
Mm, Mm, Mm, Ww, Ww, Mm, Hh, Hh, Mm, Mm, Hh, Gg, Hh, Gg, Hh, Ss, Ww, Wwg, Ww, Ww, Ds, Ds, Ds, Hh, Hh, Hh, Gg, Gg, Hh, Gg, Gg, Gg, Gg, Gg, Rp, Gg, Gg, Gs, Gs, Gs
Mm, Mm, Mm, Mm, Ww, Mm, Mm, Hh, Mm, Mm, Mm, Mm, Mm, Hh, Hh, Hh, Ww, Ww, Ww, Ds, Ds, Hh, Ds, Mm, Mm, Hh, Hh, Hh, Hh, Gg, Gg, Gg, Gg, Gg, Gg, Rp, Rp, Gg, Gg, Gs
Mm, Mm, Ww, Ww, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Ww, Wo, Wo, Hh, Hh, Hh, Hh, Mm, Mm, Hh, Hh, Hh, Hh, Hh, Hh, Hh, Gg, Gg, Gg, Gg, Gg, Gg, Rp, Gg, Gg
Ww, Ww, Wo, Ww, Ww, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Wo, Ww, Ww, Ww, Ww, Wwf, Hh, Hh, Hh, Mm, Mm, Mm, Hh, Hh, Hh, Hh, Mm, Hh, Mm, Mm, Hh, Hh, Gs, Gg, Gg, Rp, Gg, Gg
Ww, Ww, Wo, Wo, Ww, Mm, Mm, Mm, Mm, Mm, Mm, Wo, Wo, Ww, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm^Xm, Mm, Mm, Mm, Mm, Hh, Hh, Gs, Hh, Rp, Rp, Gg
Wo, Ww, Wo, Wo, Wo, Ww, Ww, Mm, Mm, Mm, Wo, Wo, Wo, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Hh, Hh, Hh, Hh, Gs, Rp, Gg
Wo, Wo, Wo, Wo, Wo, Wo, Ww, Wwg, Wwg, Wo, Wwg, Wo, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Mm, Hh, Hh, Hh, Gs, Gs, Rp, Gg
